date,cd,samsung,hyundai,ktng,gas
2007/01,4.92,601500,65550,56450,39275
2007/02,4.95,584000,70350,57950,37700
2007/03,4.94,582500,67100,58650,35975
2007/04,4.95,584000,63150,64200,37775
2007/05,5.04,559500,64650,67450,42275
2007/06,5.03,573500,71250,67050,52450
2007/07,5.05,626000,77850,69850,60300
2007/08,5.21,591500,72650,66900,52100
2007/09,5.34,555000,70900,70150,58600
2007/10,5.34,543000,68150,72200,62400
2007/11,5.43,542500,68200,77200,70500
2007/12,5.73,585000,70800,82550,66650
2008/01,5.81,555500,67850,79650,71550
2008/02,5.28,586500,68700,80600,74450
2008/03,5.25,585000,71500,76850,73000
2008/04,5.38,676000,80800,79350,74150
2008/05,5.36,721500,85700,84250,81750
2008/06,5.36,675500,77200,89400,77000
2008/07,5.52,590000,70650,87500,73100
2008/08,5.77,555500,71150,90900,75350
2008/09,5.79,536500,69800,91550,71300
2008/10,6.03,483750,60150,80950,52550
2008/11,5.62,469500,47200,84750,52200
2008/12,4.68,458250,42500,80500,55400
2009/01,3.22,483000,45800,81650,52000
2009/02,2.7,506250,49850,81450,46775
2009/03,2.45,523000,51250,77300,40425
2009/04,2.42,592000,63300,73300,42575
2009/05,2.41,558500,66400,69200,47225
2009/06,2.41,575000,71500,69200,47250
2009/07,2.41,662500,80300,69050,47950
2009/08,2.48,738000,98550,68600,51200
2009/09,2.64,794500,109250,69000,54400
2009/10,2.79,755000,106800,71150,52125
2009/11,2.79,735500,100550,67700,48675
2009/12,2.82,768000,111750,67050,48275
2010/01,2.88,817000,110250,65200,50625
2010/02,2.88,757500,114750,66500,51575
2010/03,2.83,790500,112500,63300,47725
2010/04,2.51,847500,127500,59350,46475
2010/05,2.45,787500,137500,58050,42525
2010/06,2.45,799000,139000,61350,43425
2010/07,2.58,801500,140000,60100,42925
2010/08,2.63,785500,142000,60600,43125
2010/09,2.66,766500,152250,65000,46025
2010/10,2.66,767000,163000,68450,47950
2010/11,2.73,795500,180250,65550,45500
2010/12,2.8,884500,178500,66250,46475
2011/01,2.93,961500,188750,62400,45450
2011/02,3.13,949000,177500,58200,39750
2011/03,3.35,902500,194250,57550,34125
2011/04,3.4,906000,225250,58700,35600
2011/05,3.46,897000,239250,64400,36775
2011/06,3.53,855500,233250,64600,37075
2011/07,3.59,856000,239750,67550,36125
2011/08,3.59,775000,198500,68150,32325
2011/09,3.58,783500,200250,72500,31850
2011/10,3.58,898000,211250,74400,34775
2011/11,3.56,970000,223250,73700,37825
2011/12,3.55,1045500,215250,81200,40900
2012/01,3.55,1070500,223250,77650,43200
2012/02,3.53,1134000,217500,75200,41325
2012/03,3.54,1241500,224250,75700,39450
2012/04,3.54,1319500,254250,78050,42775
2012/05,3.54,1288000,248500,77500,43075
2012/06,3.54,1201500,242250,80050,40525
2012/07,3.34,1200000,227250,82950,43050
2012/08,3.19,1264000,241500,84900,53300
2012/09,3.14,1267500,239500,86950,66250
2012/10,2.93,1330000,232250,87450,74300
2012/11,2.85,1367000,215000,84150,81700
2012/12,2.88,1481500,224500,84050,75850
2013/01,2.86,1474000,208250,78000,74000
2013/02,2.83,1485000,209250,77000,67050
2013/03,2.81,1502500,216250,75400,71300
2013/04,2.8,1507500,202500,77000,67950
2013/05,2.72,1510000,200500,78250,62950
2013/06,2.69,1400500,211250,75600,52475
2013/07,2.68,1280500,223250,76900,57100
2013/08,2.66,1292500,235000,74050,58050
2013/09,2.66,1381000,249500,75500,58550
2013/10,2.66,1441000,256750,78150,59600
2013/11,2.65,1455000,250750,77600,64100
2013/12,2.65,1419500,235000,75850,66050
2014/01,2.65,1300000,228750,74550,68450
2014/02,2.65,1293000,233500,76050,66850
2014/03,2.65,1295000,240000,78700,65450
2014/04,2.65,1373000,240750,81350,63150
2014/05,2.65,1397500,231250,85450,60800
2014/06,2.65,1385500,224000,87250,57650
2014/07,2.65,1339500,234250,95750,58450
2014/08,2.52,1269500,233750,98950,58600
2014/09,2.35,1188000,209500,91800,55350
2014/10,2.21,1163500,175000,92500,51700
2014/11,2.14,1238500,165750,94100,53675
2014/12,2.13,1309000,177750,83600,52625
2015/01,2.13,1347500,172000,80000,46700
2015/02,2.12,1369500,163000,81150,43850
2015/03,1.95,1460500,172750,84450,41425
2015/04,1.81,1428000,169250,94300,41975
2015/05,1.8,1353500,164500,97450,50750
2015/06,1.7,1297500,142250,93650,46325
2015/07,1.65,1245000,136750,102550,43800
2015/08,1.64,1124500,144000,109000,38575
2015/09,1.6,1137500,156000,107250,40025
2015/10,1.58,1243500,160750,112750,41400
2015/11,1.59,1323000,156500,110750,39925
2015/12,1.67,1287500,152000,108000,37175
2016/01,1.67,1167000,138500,102500,34400
2016/02,1.64,1160000,139000,106250,37150
2016/03,1.63,1252000,152750,108250,39700
2016/04,1.61,1275000,148750,117750,39625
2016/05,1.58,1273500,137250,127500,41300
2016/06,1.43,1390500,138000,130000,40025
2016/07,1.36,1482000,133000,129000,40675
2016/08,1.35,1602000,133500,121000,43325
2016/09,1.34,1554000,136750,120750,43300
2016/10,1.35,1620500,136250,115250,45325
2016/11,1.42,1642500,135250,106500,44925
2016/12,1.54,1765000,139000,103250,47025